Date,Transactions
2016-11-08,296060
2016-11-10,271374
2016-11-12,228886
2016-11-14,270506
2016-11-16,291186
2016-11-18,275925
2016-11-20,246537
2016-11-22,285635
2016-11-24,333466
2016-11-26,279374
2016-11-28,298530
2016-11-30,292654
2016-12-02,318263
2016-12-04,245650
2016-12-06,319762
2016-12-08,282711
2016-12-10,250241
2016-12-12,268662
2016-12-14,286328
2016-12-16,279361
2016-12-18,235789
2016-12-20,296473
2016-12-22,314644
2016-12-24,240820
2016-12-26,244914
2016-12-28,305394
2016-12-30,286818
2017-01-01,180502
2017-01-03,301664
2017-01-05,288501
2017-01-07,284719
2017-01-09,269947
2017-01-11,303058
2017-01-13,275149
2017-01-15,235999
2017-01-17,292697
2017-01-19,300605
2017-01-21,263562
2017-01-23,236692
2017-01-25,305961
2017-01-27,263332
2017-01-29,241627
2017-01-31,307683
2017-02-02,259559
2017-02-04,286326
2017-02-06,230027
2017-02-08,308316
2017-02-10,304456
2017-02-12,238182
2017-02-14,315084
2017-02-16,285329
2017-02-18,288149
2017-02-20,282728
2017-02-22,284024
2017-02-24,350751
2017-02-26,265203
2017-02-28,325414
2017-03-02,329428
2017-03-04,268875
2017-03-06,287731
2017-03-08,297108
2017-03-10,308482
2017-03-12,221110
2017-03-14,310395
2017-03-16,327034
2017-03-18,263530
2017-03-20,277033
2017-03-22,320713
2017-03-24,289521
2017-03-26,221915
2017-03-28,294001
2017-03-30,288788
2017-04-01,255871
2017-04-03,288141
2017-04-05,316555
2017-04-07,295463
2017-04-09,238286
2017-04-11,307893
2017-04-13,228679
2017-04-15,271976
2017-04-17,245184
2017-04-19,310104
2017-04-21,330354
2017-04-23,245039
2017-04-25,325387
2017-04-27,297884
2017-04-29,341319
2017-05-01,294786
2017-05-03,295149
2017-05-05,267193
2017-05-07,316011
2017-05-09,332879
2017-05-11,294743
2017-05-13,329266
2017-05-15,329229
2017-05-17,317527
2017-05-19,319502
2017-05-21,326057
2017-05-23,367710
2017-05-25,350114
2017-05-27,331914
2017-05-29,321638
2017-05-31,321634
2017-06-02,271539
2017-06-04,266044
2017-06-06,297416
2017-06-08,307377
2017-06-10,254993
2017-06-12,269098
2017-06-14,287644
2017-06-16,269937
2017-06-18,209359
2017-06-20,269438
2017-06-22,269685
2017-06-24,227127
2017-06-26,261906
2017-06-28,279811
2017-06-30,267360
2017-07-02,196539
2017-07-04,255483
2017-07-06,225106
2017-07-08,220835
2017-07-10,251722
2017-07-12,257138
2017-07-14,227903
2017-07-16,203165
2017-07-18,260575
2017-07-20,230199
2017-07-22,223358
2017-07-24,240072
2017-07-26,237853
2017-07-28,247207
2017-07-30,184145
2017-08-01,131875
2017-08-03,213017
2017-08-05,239771
2017-08-07,249002
2017-08-09,260955
2017-08-11,284001
2017-08-13,263310
2017-08-15,311002
2017-08-17,347319
2017-08-19,266832
2017-08-21,236772
2017-08-23,315734
2017-08-25,208169
2017-08-27,261891
2017-08-29,281116
2017-08-31,280724
2017-09-02,236811
2017-09-04,269280
2017-09-06,276225
2017-09-08,279488
2017-09-10,193240
2017-09-12,256230
2017-09-14,268068
2017-09-16,228257
2017-09-18,218204
2017-09-20,235723
2017-09-22,227615
2017-09-24,185277
2017-09-26,263648
2017-09-28,275976
2017-09-30,212678
2017-10-02,295002
2017-10-04,232826
