Date,Transactions
2010-12-10,382
2010-12-12,564
2010-12-14,683
2010-12-16,523
2010-12-18,466
2010-12-20,934
2010-12-22,634
2010-12-24,578
2010-12-26,650
2010-12-28,584
2010-12-30,542
2011-01-01,594
2011-01-03,853
2011-01-05,1192
2011-01-07,880
2011-01-09,1193
2011-01-11,1262
2011-01-13,1271
2011-01-15,932
2011-01-17,816
2011-01-19,967
2011-01-21,1047
2011-01-23,1073
2011-01-25,965
2011-01-27,900
2011-01-29,1290
2011-01-31,1815
2011-02-02,1004
2011-02-04,918
2011-02-06,857
2011-02-08,842
2011-02-10,1866
2011-02-12,1903
2011-02-14,1978
2011-02-16,2062
2011-02-18,2086
2011-02-20,1698
2011-02-22,2152
2011-02-24,1957
2011-02-26,1964
2011-02-28,1932
2011-03-02,2974
2011-03-04,2119
2011-03-06,1918
2011-03-08,2530
2011-03-10,1491
2011-03-12,2812
2011-03-14,2981
2011-03-16,3237
2011-03-18,2759
2011-03-20,2674
2011-03-22,2301
2011-03-24,2218
2011-03-26,2987
2011-03-28,3420
2011-03-30,1625
2011-04-01,1573
2011-04-03,1603
2011-04-05,2272
2011-04-07,1842
2011-04-09,1749
2011-04-11,1879
2011-04-13,2480
2011-04-15,2001
2011-04-17,2320
2011-04-19,3567
2011-04-21,1912
2011-04-23,2100
2011-04-25,2516
2011-04-27,4550
2011-04-29,3474
2011-05-01,4648
2011-05-03,3235
2011-05-05,3399
2011-05-07,3889
2011-05-09,3560
2011-05-11,3272
2011-05-13,4404
2011-05-15,3990
2011-05-17,4355
2011-05-19,5131
2011-05-21,4822
2011-05-23,5775
2011-05-25,6172
2011-05-27,5491
2011-05-29,4725
2011-05-31,6203
2011-06-02,7157
2011-06-04,8773
2011-06-06,9808
2011-06-08,11394
2011-06-10,11233
2011-06-12,11668
2011-06-14,12602
2011-06-16,11777
2011-06-18,12025
2011-06-20,11278
2011-06-22,11810
2011-06-24,11134
2011-06-26,10298
2011-06-28,10892
2011-06-30,9885
2011-07-02,9454
2011-07-04,9495
2011-07-06,11053
2011-07-08,8211
2011-07-10,8057
2011-07-12,8795
2011-07-14,8419
2011-07-16,7821
2011-07-18,8185
2011-07-20,8545
2011-07-22,8437
2011-07-24,7866
2011-07-26,8401
2011-07-28,7818
2011-07-30,6854
2011-08-01,8032
2011-08-03,8054
2011-08-05,7308
2011-08-07,6725
2011-08-09,8638
2011-08-11,8116
2011-08-13,7386
2011-08-15,8347
2011-08-17,8128
2011-08-19,7787
2011-08-21,7355
2011-08-23,7425
2011-08-25,7082
2011-08-27,6988
2011-08-29,7807
2011-08-31,7280
2011-09-02,6917
2011-09-04,6612
2011-09-06,7705
2011-09-08,6481
2011-09-10,6453
2011-09-12,6422
2011-09-14,6515
2011-09-16,6042
2011-09-18,5775
2011-09-20,7420
2011-09-22,6808
2011-09-24,6231
2011-09-26,5917
2011-09-28,5795
2011-09-30,5762
2011-10-02,5145
2011-10-04,5316
2011-10-06,6004
2011-10-08,5604
2011-10-10,5530
2011-10-12,6498
2011-10-14,5676
2011-10-16,4878
2011-10-18,5562
2011-10-20,4708
2011-10-22,4820
2011-10-24,5919
2011-10-26,5307
2011-10-28,5111
2011-10-30,4888
2011-11-01,5885
2011-11-03,5746
2011-11-05,6575
2011-11-07,5329
2011-11-09,6627
2011-11-11,5439
2011-11-13,5088
2011-11-15,6442
2011-11-17,5596
2011-11-19,4909
2011-11-21,5044
2011-11-23,5620
2011-11-25,5374
2011-11-27,4794
2011-11-29,6529
2011-12-01,6735
2011-12-03,5533
2011-12-05,6347
2011-12-07,7119
2011-12-09,5686
2011-12-11,5240
2011-12-13,5515
2011-12-15,5476
2011-12-17,4819
2011-12-19,5200
2011-12-21,5667
2011-12-23,5740
2011-12-25,5307
2011-12-27,5571
2011-12-29,5023
2011-12-31,5357
2012-01-02,5809
2012-01-04,5636
2012-01-06,6361
2012-01-08,6290
2012-01-10,6589
2012-01-12,6943
2012-01-14,6734
2012-01-16,6685
2012-01-18,7215
2012-01-20,6718
2012-01-22,5259
2012-01-24,6817
2012-01-26,6736
2012-01-28,6095
2012-01-30,6019
2012-02-01,6900
2012-02-03,6943
2012-02-05,6616
2012-02-07,6799
2012-02-09,7259
2012-02-11,7624
2012-02-13,7514
2012-02-15,9511
2012-02-17,7128
2012-02-19,5932
2012-02-21,6348
2012-02-23,7881
2012-02-25,6588
2012-02-27,6475
2012-02-29,6825
2012-03-02,7696
2012-03-04,6017
2012-03-06,6713
2012-03-08,6635
2012-03-10,6054
2012-03-12,5728
2012-03-14,7096
2012-03-16,6706
2012-03-18,5745
2012-03-20,6604
2012-03-22,6756
2012-03-24,6461
2012-03-26,6469
2012-03-28,7134
2012-03-30,7174
2012-04-01,5619
2012-04-03,7539
2012-04-05,6977
2012-04-07,6152
2012-04-09,6045
2012-04-11,7485
2012-04-13,7549
2012-04-15,7313
2012-04-17,8354
2012-04-19,8023
2012-04-21,7770
2012-04-23,6845
2012-04-25,7746
2012-04-27,7066
2012-04-29,8050
2012-05-01,10070
2012-05-03,12283
2012-05-05,13590
2012-05-07,16283
2012-05-09,18865
2012-05-11,14196
2012-05-13,14084
2012-05-15,20817
2012-05-17,14892
2012-05-19,38132
2012-05-21,29133
2012-05-23,26784
2012-05-25,29007
2012-05-27,22251
2012-05-29,31160
2012-05-31,20951
2012-06-02,18570
2012-06-04,44984
2012-06-06,18275
2012-06-08,26974
2012-06-10,39328
2012-06-12,20796
2012-06-14,56997
2012-06-16,49313
2012-06-18,39028
2012-06-20,33475
2012-06-22,25550
2012-06-24,21880
2012-06-26,32547
2012-06-28,27315
2012-06-30,23608
2012-07-02,25272
2012-07-04,21992
2012-07-06,21962
2012-07-08,21697
2012-07-10,33442
2012-07-12,26493
2012-07-14,25417
2012-07-16,30561
2012-07-18,30733
2012-07-20,35383
2012-07-22,29975
2012-07-24,29945
2012-07-26,30652
2012-07-28,33187
2012-07-30,38204
2012-08-01,34163
2012-08-03,29356
2012-08-05,32003
2012-08-07,28636
2012-08-09,33117
2012-08-11,29979
2012-08-13,49678
2012-08-15,49070
2012-08-17,40897
2012-08-19,35022
2012-08-21,40494
2012-08-23,31765
2012-08-25,35491
2012-08-27,31308
2012-08-29,33804
2012-08-31,41495
2012-09-02,31268
2012-09-04,36940
2012-09-06,44218
2012-09-08,34359
2012-09-10,32055
2012-09-12,30406
